"source","concept_id","report_or_assessment","language","term","definition","alt_labels","is_available","is_fetched","fetch_status","source_endpoint","downloaded_at"
"IPBES","ipbes:21524:16224","Americas assessment","en","abundance (ecological)","The size of a population of a particular life form in a given area.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21524:16224","Asia-Pacific assessment","en","abundance (ecological)","The size of a population of a particular life form in a given area.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21524:16224","Europe and Central Asia assessment","en","abundance (ecological)","The size of a population of a particular life form in a given area.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21524:16224","Land degradation and restoration assessment","en","abundance (ecological)","The size of a population of a particular life form in a given area.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21524:16224","Sustainable use assessment","en","abundance (ecological)","The size of a population of a particular life form in a given area.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21524:39559","Pollination assessment","en","abundance (ecological)","The size of a population of a particular life form.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21524:40620","Global assessment (1st work programme)","en","abundance (ecological)","see Abundance (ecological).",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21525:16225","Africa assessment","en","acceptance","Acceptance of the Platform’s outputs at a session of the Plenary signifies that the material has not been subjected to line-by-line discussion and agreement, but nevertheless presents a comprehensive and balanced view of the subject matter.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21525:16225","Asia-Pacific assessment","en","acceptance","Acceptance of the Platform’s outputs at a session of the Plenary signifies that the material has not been subjected to line-by-line discussion and agreement, but nevertheless presents a comprehensive and balanced view of the subject matter.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21525:39560","Europe and Central Asia assessment","en","acceptance","Acceptance of IPBES outputs at a session of its Plenary signifies that the material has not been subjected to line-by-line discussion and agreement, but nevertheless presents a comprehensive and balanced view of the subject matter.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
"IPBES","ipbes:21525:39560","Land degradation and restoration assessment","en","acceptance","Acceptance of IPBES outputs at a session of its Plenary signifies that the material has not been subjected to line-by-line discussion and agreement, but nevertheless presents a comprehensive and balanced view of the subject matter.",NA,TRUE,TRUE,"source_csv","data-raw/IPBES/glossary_2026-02-23.csv","2026-05-05"
