"id","report","language","term","definition","did","pid","is_translation_available","is_translation_fetched","fetch_status","source_endpoint","downloaded_at"
"1","SR15","en","1.5°C warmer worlds","Projected worlds in which global warming has reached and, unless otherwise indicated, been limited to 1.5°C above pre-industrial levels. There is no single 1.5°C warmer world, and projections of 1.5°C warmer worlds look different depending on whether it is considered on a near-term transient trajectory or at climate equilibrium after several millennia, and, in both cases, if it occurs with or without overshoot. Within the 21st century, several aspects play a role for the assessment of risk and potential impacts in 1.5°C warmer worlds: the possible occurrence, magnitude and duration of an overshoot; the way in which emissions reductions are achieved; the ways in which policies might be able to influence the resilience of human and natural systems; and the nature of the regional and sub-regional risks. Beyond the 21st century, several elements of the climate system would continue to change even if the global mean temperatures remain stable, including further increases of sea level.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"1","SR15","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"1","SR15","es","Mundos 1,5 °C más cálidos","Mundos para los que se proyecta un calentamiento global máximo, a menos que se indique lo contrario, de 1,5 °C con respecto a los niveles preindustriales. Los mundos 1,5 °C más cálidos pueden ser de diversos tipos, por lo que las proyecciones de esos mundos difieren en función de si se consideran sobre la base de una trayectoria transitoria a corto plazo o del equilibrio climático en el que se encuentran tras varios milenios, y, en ambos casos, de si se produce con o sin sobrepaso. En el contexto del siglo XXI, varios aspectos entran en juego para la evaluación de los riesgos y los posibles impactos en mundos 1,5 °C más cálidos: la posible presencia, magnitud y duración de un sobrepaso; el modo en que se logra la reducción de las emisiones; la forma en que las políticas podrían influir en la resiliencia de los sistemas humanos y naturales, y el carácter de los riesgos regionales y subregionales. Después del siglo XXI, varios elementos del sistema climático continuarían cambiando, entre ellos el nivel del mar, que seguiría subiendo, aun si las temperaturas medias mundiales permanecieran estables.","1","1","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"1","SR15","fr","Monde plus chaud de 1,5 °C","Projection d’un monde dans lequel le réchauffement planétaire a atteint et, sauf indication contraire, n’a pas excédé 1,5 °C par rapport aux niveaux préindustriels. Un monde plus chaud de 1,5 °C peut prendre différentes formes et les projections varient selon que l’analyse porte sur la trajectoire suivie pendant une courte période ou sur l’équilibre atteint après plusieurs millénaires et, dans un cas comme dans l’autre, selon que la limite de température a été franchie ou non. S’agissant du xxie siècle, l’appréciation du risque et des impacts potentiels dans un monde plus chaud de 1,5 °C doit prendre en considération plusieurs aspects : la probabilité, l’ampleur et la durée d’un dépassement ; la façon dont les émissions sont réduites ; la possibilité d’influer sur la résilience des systèmes humains et naturels par les politiques ; la nature des risques à l’échelle d’une région ou d’une sous-région. Audelà du xxie siècle, plusieurs éléments du système climatique continueraient d’évoluer et la hausse du niveau de la mer se poursuivrait même si la température moyenne du globe était stabilisée.","1","1","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"1","SR15","ru","Состояния мировой окружающей среды при повышении температуры на 1,5 °С","Прогнозируемые состояния мировой окружающей среды, при которых глобальное потепление достигло повышения температуры на 1,5 °С по сравнению с доиндустриальными уровнями и, если не указано иное, ограничилось таким повышением. Не существует никакого единого состояния мировой окружающей среды в случае повышения температуры на 1,5 °С и перспективные оценки состояния мировой окружающей среды, характеризуемыe повышением температуры на 1,5 °С, выглядят по-разному, в зависимости от того, рассматривается ли данное состояние в пределах краткосрочной переходной траектории или климатического равновесия спустя несколько тысячелетий, и в обоих случаях происходит ли данный процесс с превышением определенного значения или без него. В XXI веке несколько аспектов играют роль в оценке риска и потенциальных воздействий в случае повышения мировой температуры на 1,5 °С: возможное наступление, величина и продолжительность превышения определенного значения; способ достижения сокращений выбросов; способы, с помощью которых политика могла бы повлиять на сопротивляемость антропогенных и природных систем; характер региональных и субрегиональных рисков. После XXI века некоторые элементы климатической системы будут продолжать изменяться, даже если глобальные средние температуры останутся стабильными, включая дальнейшие повышения уровня моря.","1","1","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"1","SR15","zh","升温1.5°C的世界","预估全球变暖已达到并除非另有说明已限制在高于工业化前水平1.5°C的世界。没有单独一个升温1.5°C的世界，预估升温1.5°C的世界看上去各有所不同，具体取决于是从近期瞬态轨迹角度来看还是从几千年后的气候均衡角度来看， 而且在这两种情况下还具体取决于是否会发生过冲。在21 世纪，有几个方面在评估升温1.5°C世界中的风险和潜在影响方面起到作用：过冲的可能发生、程度和持续时间；实现减排的方式；政策可能会影响人类和自然系统的抗御力的方式，以及区域和次区域风险的性质。在21世纪之后， 即使全球平均温度保持稳定，包括海平面的进一步上升， 气候系统的若干要素也将继续发生变化。","1","1","TRUE","TRUE","ok","ajax.gettranslation.php","2026-03-31"
"1","AR6","en","1.5°C warmer worlds","Projected worlds in which global warming has reached and, unless otherwise indicated, been limited to 1.5°C above pre-industrial levels. There is no single 1.5°C warmer world, and projections of 1.5°C warmer worlds look different depending on whether it is considered on a near-term transient trajectory or at climate equilibrium after several millennia, and, in both cases, if it occurs with or without overshoot. Within the 21st century, several aspects play a role for the assessment of risk and potential impacts in 1.5°C warmer worlds: the possible occurrence, magnitude and duration of an overshoot; the way in which emissions reductions are achieved; the ways in which policies might be able to influence the resilience of human and natural systems; and the nature of the regional and sub-regional risks. Beyond the 21st century, several elements of the climate system would continue to change even if the global mean temperatures remain stable, including further increases of sea level.",NA,NA,"TRUE","TRUE","ok","ajax.searchbyphraseandreport.php","2026-03-31"
"1","AR6","ar",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"1","AR6","es",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
"1","AR6","fr",NA,NA,NA,NA,"FALSE","FALSE","not_available","ajax.searchbyphraseandreport.php","2026-03-31"
